uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
8CBC3A53-112C-4C3E-92A3-723C5F568AC0,1,0.00,18.91,240.0013,0.52,1.65,151.41,1.86,239946.71
8CBC3A53-112C-4C3E-92A3-723C5F568AC0,4,0.00,72.31,240.0013,0.51,1.73,173.08,2.14,959522.83
8CBC3A53-112C-4C3E-92A3-723C5F568AC0,8,0.00,139.58,240.0014,0.51,1.79,139.25,2.48,1918247.19
8CBC3A53-112C-4C3E-92A3-723C5F568AC0,16,0.00,256.44,240.0019,0.50,1.95,153.71,2.76,3835995.27
8CBC3A53-112C-4C3E-92A3-723C5F568AC0,32,0.00,403.83,240.0020,0.49,2.47,163.76,3.55,7673338.28
8CBC3A53-112C-4C3E-92A3-723C5F568AC0,64,0.00,409.80,240.0023,0.55,4.88,153.03,6.21,15350444.97
