uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
672A8E0D-F292-4F99-A826-AD8BAABA6EFC,1,5097.69,0.00,240.0001,0.00,0.01,10.45,0.01,230900.11
672A8E0D-F292-4F99-A826-AD8BAABA6EFC,4,18119.37,0.00,240.0002,0.00,0.01,13.41,0.01,854583.00
672A8E0D-F292-4F99-A826-AD8BAABA6EFC,8,26724.66,0.00,240.0002,0.00,0.01,18.91,0.01,1576139.12
672A8E0D-F292-4F99-A826-AD8BAABA6EFC,16,26770.37,0.00,240.0003,0.00,0.01,16.51,0.03,2596662.45
672A8E0D-F292-4F99-A826-AD8BAABA6EFC,32,27072.33,0.00,240.0004,0.00,0.02,30.18,0.09,4615881.19
672A8E0D-F292-4F99-A826-AD8BAABA6EFC,64,27057.77,0.00,240.0010,0.00,0.04,64.88,0.23,8695194.79
