uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
045F3BF6-F332-40B2-BCA4-9339EB00849A,1,6321.36,0.00,240.0001,0.00,0.00,0.04,0.01,228687.60
045F3BF6-F332-40B2-BCA4-9339EB00849A,4,20535.24,0.00,240.0000,0.00,0.01,3.00,0.01,864375.76
045F3BF6-F332-40B2-BCA4-9339EB00849A,8,31053.46,0.00,240.0001,0.00,0.01,0.23,0.01,1581354.12
045F3BF6-F332-40B2-BCA4-9339EB00849A,16,28933.65,0.00,240.0000,0.00,0.01,1.15,0.03,2604670.49
045F3BF6-F332-40B2-BCA4-9339EB00849A,32,29228.06,0.00,240.0001,0.00,0.02,6.20,0.08,4591422.44
045F3BF6-F332-40B2-BCA4-9339EB00849A,64,30351.40,0.00,240.0002,0.00,0.04,40.84,0.21,8613856.86
