uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
18C69D93-7384-47D4-B07B-94837ACA4AF1,1,0.00,47.61,240.0001,0.09,0.65,48.81,1.14,239483.18
18C69D93-7384-47D4-B07B-94837ACA4AF1,4,0.00,215.65,240.0005,0.09,0.58,49.31,0.97,957701.49
18C69D93-7384-47D4-B07B-94837ACA4AF1,8,0.00,232.65,240.0007,0.09,1.07,60.76,1.08,1916607.85
18C69D93-7384-47D4-B07B-94837ACA4AF1,16,0.00,243.08,240.0071,0.09,2.05,300.43,1.67,3835118.53
18C69D93-7384-47D4-B07B-94837ACA4AF1,32,0.00,248.24,240.0149,0.10,4.03,54.06,39.65,7674720.30
18C69D93-7384-47D4-B07B-94837ACA4AF1,64,0.00,251.37,240.0346,0.10,7.95,92.05,43.39,15356390.49
