uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
E7ECAEF8-CC8F-4433-A5EA-BE7A19DF8511,1,0.00,124.18,240.0002,0.09,0.25,45.86,0.34,239623.40
E7ECAEF8-CC8F-4433-A5EA-BE7A19DF8511,4,0.00,340.13,240.0002,0.09,0.37,101.32,0.97,958489.12
E7ECAEF8-CC8F-4433-A5EA-BE7A19DF8511,8,0.00,351.09,240.0012,0.09,0.71,216.20,2.00,1918120.31
E7ECAEF8-CC8F-4433-A5EA-BE7A19DF8511,16,0.00,365.71,240.0010,0.09,1.37,172.25,3.75,3836430.81
E7ECAEF8-CC8F-4433-A5EA-BE7A19DF8511,32,0.00,375.28,240.0070,0.09,2.66,121.54,7.30,7674385.04
E7ECAEF8-CC8F-4433-A5EA-BE7A19DF8511,64,0.00,381.57,240.0043,0.10,5.24,136.81,13.22,15351758.85
