uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
C3EB6EE7-1BD6-4137-ADA8-E7913745524E,1,0.00,254.75,240.0001,0.05,0.12,1.29,0.16,239394.30
C3EB6EE7-1BD6-4137-ADA8-E7913745524E,4,0.00,290.99,240.0002,0.05,0.43,1.50,0.65,958784.27
C3EB6EE7-1BD6-4137-ADA8-E7913745524E,8,0.00,301.54,240.0008,0.05,0.83,3.05,1.25,1917476.16
C3EB6EE7-1BD6-4137-ADA8-E7913745524E,16,0.00,310.99,240.0010,0.05,1.61,3.96,2.30,3836103.59
C3EB6EE7-1BD6-4137-ADA8-E7913745524E,32,0.00,319.05,240.0011,0.05,3.13,7.23,4.25,7674045.55
C3EB6EE7-1BD6-4137-ADA8-E7913745524E,64,0.00,324.91,240.0023,0.05,6.15,15.48,7.30,15350218.92
