uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
868C1552-B237-452E-AD8F-6187F3C52A0D,1,0.00,51.21,240.0003,0.10,0.61,28.69,0.90,239440.14
868C1552-B237-452E-AD8F-6187F3C52A0D,4,0.00,212.02,240.0003,0.10,0.59,31.52,0.87,957951.58
868C1552-B237-452E-AD8F-6187F3C52A0D,8,0.00,228.33,240.0005,0.10,1.09,80.50,1.23,1916731.87
868C1552-B237-452E-AD8F-6187F3C52A0D,16,0.00,237.62,240.0193,0.10,2.10,78.23,4.33,3836493.91
868C1552-B237-452E-AD8F-6187F3C52A0D,32,0.00,243.89,240.0062,0.10,4.10,72.24,29.72,7675283.56
