uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
868C1552-B237-452E-AD8F-6187F3C52A0D,1,27060.91,0.00,240.0005,0.00,0.05,65.54,0.11,10293881.56
868C1552-B237-452E-AD8F-6187F3C52A0D,4,16252.61,0.00,240.0001,0.00,0.01,26.74,0.01,898455.84
868C1552-B237-452E-AD8F-6187F3C52A0D,8,24686.95,0.00,240.0002,0.00,0.01,27.13,0.02,1721493.41
868C1552-B237-452E-AD8F-6187F3C52A0D,16,23125.63,0.00,240.0003,0.00,0.02,35.19,0.03,3227443.68
868C1552-B237-452E-AD8F-6187F3C52A0D,32,25874.09,0.00,240.0011,0.00,0.03,76.02,0.05,5761093.31
868C1552-B237-452E-AD8F-6187F3C52A0D,64,28158.56,0.00,240.0015,0.00,0.05,55.41,0.10,10392236.92
