uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
986E7463-B459-40F0-B1EE-92269E586652,1,0.00,254.97,240.0001,0.05,0.12,1.66,0.16,239300.54
986E7463-B459-40F0-B1EE-92269E586652,4,0.00,291.24,240.0002,0.05,0.43,2.56,0.65,958834.71
986E7463-B459-40F0-B1EE-92269E586652,8,0.00,301.52,240.0008,0.05,0.83,2.27,1.25,1917396.20
986E7463-B459-40F0-B1EE-92269E586652,16,0.00,310.44,240.0002,0.05,1.61,4.16,2.30,3836039.11
986E7463-B459-40F0-B1EE-92269E586652,32,0.00,319.03,240.0011,0.05,3.13,7.58,4.25,7674076.24
986E7463-B459-40F0-B1EE-92269E586652,64,0.00,324.91,240.0034,0.06,6.15,14.59,7.43,15349956.36
