uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,1,5078.85,0.00,240.0001,0.00,0.01,0.69,0.01,228897.47
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,4,18314.45,0.00,240.0002,0.00,0.01,0.70,0.01,881405.93
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,8,30265.25,0.00,240.0002,0.00,0.01,5.08,0.01,1640232.38
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,16,32247.83,0.00,240.0003,0.00,0.01,10.08,0.02,2822720.00
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,32,31671.91,0.00,240.0004,0.00,0.02,23.59,0.08,4787019.07
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,64,31760.68,0.00,240.0006,0.00,0.04,27.60,0.21,8872227.69
