uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,1,0.00,102.94,240.0003,0.10,0.30,10.47,0.43,239633.22
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,4,0.00,340.96,240.0008,0.10,0.37,10.47,0.78,958242.67
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,8,0.00,354.36,240.0004,0.10,0.70,12.93,1.14,1917866.00
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,16,0.00,366.72,240.0010,0.10,1.36,11.86,3.62,3835948.40
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,32,0.00,375.58,240.0047,0.10,2.66,23.26,7.30,7673651.96
A6A07448-4D00-4DC6-AEE1-9870F34E56FA,64,0.00,381.56,240.0068,0.10,5.24,47.69,13.46,15351632.46
