uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
BE6C0BC9-45C5-4923-AA46-0B7670E0A78B,1,0.00,103.46,240.0004,0.10,0.30,10.38,0.41,239517.12
BE6C0BC9-45C5-4923-AA46-0B7670E0A78B,4,0.00,335.11,240.0005,0.10,0.37,10.73,0.75,958175.00
BE6C0BC9-45C5-4923-AA46-0B7670E0A78B,8,0.00,354.49,240.0009,0.10,0.70,15.17,1.12,1917753.24
BE6C0BC9-45C5-4923-AA46-0B7670E0A78B,16,0.00,366.93,240.0005,0.11,1.36,27.58,3.75,3835887.28
BE6C0BC9-45C5-4923-AA46-0B7670E0A78B,32,0.00,375.46,240.0057,0.11,2.66,22.87,7.30,7673828.22
BE6C0BC9-45C5-4923-AA46-0B7670E0A78B,64,0.00,381.47,240.0035,0.11,5.24,40.34,13.22,15351422.73
