PING 10.2.0.11 (10.2.0.11) 56(84) bytes of data.
64 bytes from 10.2.0.11: icmp_seq=82 ttl=64 time=0.532 ms
64 bytes from 10.2.0.11: icmp_seq=83 ttl=64 time=0.532 ms
64 bytes from 10.2.0.11: icmp_seq=84 ttl=64 time=0.605 ms
64 bytes from 10.2.0.11: icmp_seq=85 ttl=64 time=0.555 ms
64 bytes from 10.2.0.11: icmp_seq=86 ttl=64 time=0.574 ms
64 bytes from 10.2.0.11: icmp_seq=87 ttl=64 time=0.855 ms
64 bytes from 10.2.0.11: icmp_seq=88 ttl=64 time=0.650 ms
64 bytes from 10.2.0.11: icmp_seq=89 ttl=64 time=0.569 ms
64 bytes from 10.2.0.11: icmp_seq=90 ttl=64 time=0.804 ms
64 bytes from 10.2.0.11: icmp_seq=91 ttl=64 time=0.661 ms
64 bytes from 10.2.0.11: icmp_seq=92 ttl=64 time=0.534 ms
64 bytes from 10.2.0.11: icmp_seq=93 ttl=64 time=0.568 ms
64 bytes from 10.2.0.11: icmp_seq=94 ttl=64 time=0.584 ms
64 bytes from 10.2.0.11: icmp_seq=95 ttl=64 time=0.653 ms
64 bytes from 10.2.0.11: icmp_seq=96 ttl=64 time=0.633 ms
64 bytes from 10.2.0.11: icmp_seq=97 ttl=64 time=0.625 ms
64 bytes from 10.2.0.11: icmp_seq=98 ttl=64 time=0.633 ms
64 bytes from 10.2.0.11: icmp_seq=99 ttl=64 time=0.531 ms
64 bytes from 10.2.0.11: icmp_seq=100 ttl=64 time=0.591 ms
64 bytes from 10.2.0.11: icmp_seq=101 ttl=64 time=0.524 ms
64 bytes from 10.2.0.11: icmp_seq=102 ttl=64 time=0.519 ms
64 bytes from 10.2.0.11: icmp_seq=103 ttl=64 time=0.558 ms
64 bytes from 10.2.0.11: icmp_seq=104 ttl=64 time=0.548 ms
64 bytes from 10.2.0.11: icmp_seq=105 ttl=64 time=0.564 ms
64 bytes from 10.2.0.11: icmp_seq=106 ttl=64 time=0.565 ms
64 bytes from 10.2.0.11: icmp_seq=107 ttl=64 time=0.544 ms
64 bytes from 10.2.0.11: icmp_seq=108 ttl=64 time=0.543 ms
64 bytes from 10.2.0.11: icmp_seq=109 ttl=64 time=0.526 ms
64 bytes from 10.2.0.11: icmp_seq=110 ttl=64 time=0.565 ms
64 bytes from 10.2.0.11: icmp_seq=111 ttl=64 time=0.608 ms
64 bytes from 10.2.0.11: icmp_seq=112 ttl=64 time=0.613 ms
64 bytes from 10.2.0.11: icmp_seq=113 ttl=64 time=0.546 ms
64 bytes from 10.2.0.11: icmp_seq=114 ttl=64 time=0.516 ms
64 bytes from 10.2.0.11: icmp_seq=115 ttl=64 time=0.568 ms
64 bytes from 10.2.0.11: icmp_seq=116 ttl=64 time=0.515 ms
64 bytes from 10.2.0.11: icmp_seq=117 ttl=64 time=0.561 ms
64 bytes from 10.2.0.11: icmp_seq=118 ttl=64 time=0.491 ms
64 bytes from 10.2.0.11: icmp_seq=119 ttl=64 time=0.529 ms
64 bytes from 10.2.0.11: icmp_seq=120 ttl=64 time=0.628 ms
64 bytes from 10.2.0.11: icmp_seq=121 ttl=64 time=0.486 ms
64 bytes from 10.2.0.11: icmp_seq=122 ttl=64 time=0.547 ms
64 bytes from 10.2.0.11: icmp_seq=123 ttl=64 time=0.656 ms
64 bytes from 10.2.0.11: icmp_seq=124 ttl=64 time=1.73 ms
64 bytes from 10.2.0.11: icmp_seq=125 ttl=64 time=0.621 ms
64 bytes from 10.2.0.11: icmp_seq=126 ttl=64 time=0.598 ms
64 bytes from 10.2.0.11: icmp_seq=127 ttl=64 time=0.622 ms
64 bytes from 10.2.0.11: icmp_seq=128 ttl=64 time=0.553 ms
64 bytes from 10.2.0.11: icmp_seq=129 ttl=64 time=0.551 ms
64 bytes from 10.2.0.11: icmp_seq=130 ttl=64 time=0.681 ms
64 bytes from 10.2.0.11: icmp_seq=131 ttl=64 time=0.569 ms
64 bytes from 10.2.0.11: icmp_seq=132 ttl=64 time=0.570 ms
64 bytes from 10.2.0.11: icmp_seq=133 ttl=64 time=0.657 ms
64 bytes from 10.2.0.11: icmp_seq=134 ttl=64 time=0.446 ms
64 bytes from 10.2.0.11: icmp_seq=135 ttl=64 time=0.585 ms
64 bytes from 10.2.0.11: icmp_seq=136 ttl=64 time=0.532 ms
64 bytes from 10.2.0.11: icmp_seq=137 ttl=64 time=0.819 ms
64 bytes from 10.2.0.11: icmp_seq=138 ttl=64 time=0.544 ms
64 bytes from 10.2.0.11: icmp_seq=139 ttl=64 time=0.511 ms
64 bytes from 10.2.0.11: icmp_seq=140 ttl=64 time=0.539 ms
64 bytes from 10.2.0.11: icmp_seq=141 ttl=64 time=0.600 ms
64 bytes from 10.2.0.11: icmp_seq=142 ttl=64 time=0.511 ms
64 bytes from 10.2.0.11: icmp_seq=143 ttl=64 time=0.527 ms
64 bytes from 10.2.0.11: icmp_seq=144 ttl=64 time=0.516 ms
64 bytes from 10.2.0.11: icmp_seq=145 ttl=64 time=0.502 ms
64 bytes from 10.2.0.11: icmp_seq=146 ttl=64 time=0.533 ms
64 bytes from 10.2.0.11: icmp_seq=147 ttl=64 time=0.646 ms
64 bytes from 10.2.0.11: icmp_seq=148 ttl=64 time=0.522 ms
64 bytes from 10.2.0.11: icmp_seq=149 ttl=64 time=0.500 ms
64 bytes from 10.2.0.11: icmp_seq=150 ttl=64 time=0.515 ms
64 bytes from 10.2.0.11: icmp_seq=151 ttl=64 time=0.531 ms
