uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
187256C5-4C96-46B8-9008-E9033770EA57,1,0.00,44.30,240.0054,0.13,0.70,26.24,1.96,239403.52
187256C5-4C96-46B8-9008-E9033770EA57,4,0.00,61.10,240.0249,0.14,2.04,49.75,4.65,959206.57
187256C5-4C96-46B8-9008-E9033770EA57,8,0.00,59.05,240.0080,0.13,4.23,111.72,14.73,1919187.17
187256C5-4C96-46B8-9008-E9033770EA57,16,0.00,50.32,240.0094,0.14,9.93,228.48,35.59,3839467.46
187256C5-4C96-46B8-9008-E9033770EA57,32,0.00,75.97,240.0039,0.17,13.16,316.34,59.99,7679124.98
187256C5-4C96-46B8-9008-E9033770EA57,64,0.00,314.05,240.0021,0.18,6.37,106.04,11.04,15357153.21
