uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
890EB09D-8621-477F-B77E-FE72FE7BF83C,1,7271.55,0.00,240.0001,0.00,0.00,0.10,0.00,228161.41
890EB09D-8621-477F-B77E-FE72FE7BF83C,4,18932.01,0.00,240.0001,0.00,0.01,0.28,0.01,848185.09
890EB09D-8621-477F-B77E-FE72FE7BF83C,8,23720.39,0.00,240.0001,0.00,0.01,14.07,0.01,1753554.91
890EB09D-8621-477F-B77E-FE72FE7BF83C,16,23060.75,0.00,240.0001,0.00,0.02,9.34,0.04,2761861.81
890EB09D-8621-477F-B77E-FE72FE7BF83C,32,22322.49,0.00,240.0002,0.00,0.03,7.60,0.11,4758805.94
890EB09D-8621-477F-B77E-FE72FE7BF83C,64,22521.79,0.00,240.0003,0.00,0.05,29.33,0.30,8955099.03
