uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,1,0.00,205.89,240.0001,0.06,0.15,0.69,0.18,239343.02
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,4,0.00,291.65,240.0004,0.07,0.43,1.02,0.63,958552.30
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,8,0.00,303.30,240.0005,0.07,0.82,2.11,1.25,1916936.73
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,16,0.00,312.34,240.0006,0.08,1.60,3.96,2.30,3835248.22
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,32,0.00,319.26,240.0022,0.08,3.13,7.63,4.25,7673297.27
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,64,0.00,325.08,240.0053,0.09,6.15,15.34,7.30,15349054.60
