uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,1,6085.23,0.00,240.0001,0.00,0.00,0.06,0.01,228890.85
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,4,20096.59,0.00,240.0001,0.00,0.01,0.12,0.01,860699.61
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,8,30930.82,0.00,240.0001,0.00,0.01,0.23,0.01,1582854.16
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,16,28867.12,0.00,240.0001,0.00,0.01,1.19,0.03,2614302.42
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,32,29044.14,0.00,240.0001,0.00,0.02,4.65,0.08,4596825.94
A84CBB07-7FCB-4303-8CCF-D1AB5D81BDE3,64,29360.18,0.00,240.0002,0.00,0.04,14.67,0.22,8629688.62
