uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
78B829EE-3C91-4028-AE12-C435A201AED5,1,5160.31,0.00,240.0001,0.00,0.01,9.06,0.01,228855.27
78B829EE-3C91-4028-AE12-C435A201AED5,4,18102.39,0.00,240.0001,0.00,0.01,10.88,0.01,893724.68
78B829EE-3C91-4028-AE12-C435A201AED5,8,29657.10,0.00,240.0001,0.00,0.01,13.95,0.01,1709168.51
78B829EE-3C91-4028-AE12-C435A201AED5,16,34828.32,0.00,240.0002,0.00,0.01,13.84,0.02,2903968.55
78B829EE-3C91-4028-AE12-C435A201AED5,32,35065.73,0.00,240.0002,0.00,0.02,29.51,0.06,4921018.80
78B829EE-3C91-4028-AE12-C435A201AED5,64,34967.73,0.00,240.0005,0.00,0.03,77.80,0.16,8956793.44
