uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
08EDD97A-26C9-42FC-B367-5D17DB0C527A,1,0.00,262.44,240.0001,0.05,0.12,0.86,0.15,239311.25
08EDD97A-26C9-42FC-B367-5D17DB0C527A,4,0.00,444.79,240.0004,0.05,0.28,1.93,0.57,958484.94
08EDD97A-26C9-42FC-B367-5D17DB0C527A,8,0.00,455.15,240.0001,0.05,0.55,2.74,1.08,1917538.36
08EDD97A-26C9-42FC-B367-5D17DB0C527A,16,0.00,467.62,240.0001,0.05,1.07,7.54,2.03,3836506.94
08EDD97A-26C9-42FC-B367-5D17DB0C527A,32,0.00,479.60,240.0007,0.05,2.08,14.05,3.75,7674537.71
08EDD97A-26C9-42FC-B367-5D17DB0C527A,64,0.00,489.14,240.0041,0.06,4.09,22.31,7.04,15349479.28
