PING 10.128.0.27 (10.128.0.27) 56(84) bytes of data.
64 bytes from 10.128.0.27: icmp_seq=130 ttl=64 time=0.236 ms
64 bytes from 10.128.0.27: icmp_seq=131 ttl=64 time=0.328 ms
64 bytes from 10.128.0.27: icmp_seq=132 ttl=64 time=0.244 ms
64 bytes from 10.128.0.27: icmp_seq=133 ttl=64 time=0.381 ms
64 bytes from 10.128.0.27: icmp_seq=134 ttl=64 time=0.236 ms
64 bytes from 10.128.0.27: icmp_seq=135 ttl=64 time=0.247 ms
64 bytes from 10.128.0.27: icmp_seq=136 ttl=64 time=0.355 ms
64 bytes from 10.128.0.27: icmp_seq=137 ttl=64 time=0.266 ms
64 bytes from 10.128.0.27: icmp_seq=138 ttl=64 time=0.430 ms
64 bytes from 10.128.0.27: icmp_seq=139 ttl=64 time=0.243 ms
64 bytes from 10.128.0.27: icmp_seq=140 ttl=64 time=0.402 ms
64 bytes from 10.128.0.27: icmp_seq=141 ttl=64 time=0.264 ms
64 bytes from 10.128.0.27: icmp_seq=142 ttl=64 time=0.240 ms
64 bytes from 10.128.0.27: icmp_seq=143 ttl=64 time=0.191 ms
64 bytes from 10.128.0.27: icmp_seq=144 ttl=64 time=0.243 ms
64 bytes from 10.128.0.27: icmp_seq=145 ttl=64 time=0.327 ms
64 bytes from 10.128.0.27: icmp_seq=146 ttl=64 time=0.245 ms
64 bytes from 10.128.0.27: icmp_seq=147 ttl=64 time=0.175 ms
64 bytes from 10.128.0.27: icmp_seq=148 ttl=64 time=0.274 ms
64 bytes from 10.128.0.27: icmp_seq=149 ttl=64 time=0.264 ms
64 bytes from 10.128.0.27: icmp_seq=150 ttl=64 time=0.252 ms
64 bytes from 10.128.0.27: icmp_seq=151 ttl=64 time=0.285 ms
64 bytes from 10.128.0.27: icmp_seq=152 ttl=64 time=0.179 ms
64 bytes from 10.128.0.27: icmp_seq=153 ttl=64 time=0.258 ms
64 bytes from 10.128.0.27: icmp_seq=154 ttl=64 time=0.272 ms
64 bytes from 10.128.0.27: icmp_seq=155 ttl=64 time=0.195 ms
64 bytes from 10.128.0.27: icmp_seq=156 ttl=64 time=0.191 ms
64 bytes from 10.128.0.27: icmp_seq=157 ttl=64 time=0.199 ms
64 bytes from 10.128.0.27: icmp_seq=158 ttl=64 time=0.201 ms
64 bytes from 10.128.0.27: icmp_seq=159 ttl=64 time=0.385 ms
64 bytes from 10.128.0.27: icmp_seq=160 ttl=64 time=0.306 ms
64 bytes from 10.128.0.27: icmp_seq=161 ttl=64 time=0.436 ms
64 bytes from 10.128.0.27: icmp_seq=162 ttl=64 time=0.178 ms
64 bytes from 10.128.0.27: icmp_seq=163 ttl=64 time=0.242 ms
64 bytes from 10.128.0.27: icmp_seq=164 ttl=64 time=0.191 ms
64 bytes from 10.128.0.27: icmp_seq=165 ttl=64 time=0.309 ms
64 bytes from 10.128.0.27: icmp_seq=166 ttl=64 time=0.374 ms
64 bytes from 10.128.0.27: icmp_seq=167 ttl=64 time=0.352 ms
64 bytes from 10.128.0.27: icmp_seq=168 ttl=64 time=0.171 ms
64 bytes from 10.128.0.27: icmp_seq=169 ttl=64 time=0.238 ms
64 bytes from 10.128.0.27: icmp_seq=170 ttl=64 time=0.261 ms
