uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
0BFB039E-2BC4-460F-927F-CD67FFBFC449,1,0.00,17.86,240.0009,0.53,1.75,262.44,1.96,239900.17
0BFB039E-2BC4-460F-927F-CD67FFBFC449,4,0.00,68.42,240.0015,0.52,1.83,199.48,2.26,959549.27
0BFB039E-2BC4-460F-927F-CD67FFBFC449,8,0.00,127.86,240.0016,0.51,1.95,209.72,2.66,1918547.66
0BFB039E-2BC4-460F-927F-CD67FFBFC449,16,0.00,226.00,240.0056,0.50,2.21,149.28,3.07,3835446.48
0BFB039E-2BC4-460F-927F-CD67FFBFC449,32,0.00,245.46,240.0011,0.54,4.07,154.82,5.00,7672584.11
0BFB039E-2BC4-460F-927F-CD67FFBFC449,64,0.00,248.13,240.0027,0.59,8.06,256.72,9.73,15351659.29
