PING 10.2.0.13 (10.2.0.13) 56(84) bytes of data.
64 bytes from 10.2.0.13: icmp_seq=82 ttl=64 time=0.666 ms
64 bytes from 10.2.0.13: icmp_seq=83 ttl=64 time=0.740 ms
64 bytes from 10.2.0.13: icmp_seq=84 ttl=64 time=0.734 ms
64 bytes from 10.2.0.13: icmp_seq=85 ttl=64 time=0.766 ms
64 bytes from 10.2.0.13: icmp_seq=86 ttl=64 time=0.824 ms
64 bytes from 10.2.0.13: icmp_seq=87 ttl=64 time=0.772 ms
64 bytes from 10.2.0.13: icmp_seq=88 ttl=64 time=0.762 ms
64 bytes from 10.2.0.13: icmp_seq=89 ttl=64 time=0.752 ms
64 bytes from 10.2.0.13: icmp_seq=90 ttl=64 time=0.772 ms
64 bytes from 10.2.0.13: icmp_seq=91 ttl=64 time=0.778 ms
64 bytes from 10.2.0.13: icmp_seq=92 ttl=64 time=0.769 ms
64 bytes from 10.2.0.13: icmp_seq=93 ttl=64 time=0.652 ms
64 bytes from 10.2.0.13: icmp_seq=94 ttl=64 time=0.732 ms
64 bytes from 10.2.0.13: icmp_seq=95 ttl=64 time=0.764 ms
64 bytes from 10.2.0.13: icmp_seq=96 ttl=64 time=0.698 ms
64 bytes from 10.2.0.13: icmp_seq=97 ttl=64 time=0.743 ms
64 bytes from 10.2.0.13: icmp_seq=98 ttl=64 time=0.710 ms
64 bytes from 10.2.0.13: icmp_seq=99 ttl=64 time=14.6 ms
64 bytes from 10.2.0.13: icmp_seq=100 ttl=64 time=0.841 ms
64 bytes from 10.2.0.13: icmp_seq=101 ttl=64 time=0.727 ms
64 bytes from 10.2.0.13: icmp_seq=102 ttl=64 time=0.645 ms
64 bytes from 10.2.0.13: icmp_seq=103 ttl=64 time=0.696 ms
64 bytes from 10.2.0.13: icmp_seq=104 ttl=64 time=0.676 ms
64 bytes from 10.2.0.13: icmp_seq=105 ttl=64 time=0.770 ms
64 bytes from 10.2.0.13: icmp_seq=106 ttl=64 time=0.793 ms
64 bytes from 10.2.0.13: icmp_seq=107 ttl=64 time=0.850 ms
64 bytes from 10.2.0.13: icmp_seq=108 ttl=64 time=0.813 ms
64 bytes from 10.2.0.13: icmp_seq=109 ttl=64 time=10.3 ms
64 bytes from 10.2.0.13: icmp_seq=110 ttl=64 time=0.833 ms
64 bytes from 10.2.0.13: icmp_seq=111 ttl=64 time=0.739 ms
64 bytes from 10.2.0.13: icmp_seq=112 ttl=64 time=0.790 ms
64 bytes from 10.2.0.13: icmp_seq=113 ttl=64 time=0.772 ms
64 bytes from 10.2.0.13: icmp_seq=114 ttl=64 time=0.705 ms
64 bytes from 10.2.0.13: icmp_seq=115 ttl=64 time=0.758 ms
64 bytes from 10.2.0.13: icmp_seq=116 ttl=64 time=0.834 ms
64 bytes from 10.2.0.13: icmp_seq=117 ttl=64 time=0.759 ms
64 bytes from 10.2.0.13: icmp_seq=118 ttl=64 time=0.797 ms
64 bytes from 10.2.0.13: icmp_seq=119 ttl=64 time=5.43 ms
64 bytes from 10.2.0.13: icmp_seq=120 ttl=64 time=0.762 ms
64 bytes from 10.2.0.13: icmp_seq=121 ttl=64 time=0.793 ms
64 bytes from 10.2.0.13: icmp_seq=122 ttl=64 time=0.767 ms
64 bytes from 10.2.0.13: icmp_seq=123 ttl=64 time=0.708 ms
64 bytes from 10.2.0.13: icmp_seq=124 ttl=64 time=0.773 ms
64 bytes from 10.2.0.13: icmp_seq=125 ttl=64 time=0.725 ms
64 bytes from 10.2.0.13: icmp_seq=126 ttl=64 time=0.775 ms
64 bytes from 10.2.0.13: icmp_seq=127 ttl=64 time=0.790 ms
64 bytes from 10.2.0.13: icmp_seq=128 ttl=64 time=0.870 ms
64 bytes from 10.2.0.13: icmp_seq=129 ttl=64 time=0.826 ms
64 bytes from 10.2.0.13: icmp_seq=130 ttl=64 time=0.739 ms
64 bytes from 10.2.0.13: icmp_seq=131 ttl=64 time=0.893 ms
64 bytes from 10.2.0.13: icmp_seq=132 ttl=64 time=0.612 ms
64 bytes from 10.2.0.13: icmp_seq=133 ttl=64 time=0.779 ms
64 bytes from 10.2.0.13: icmp_seq=134 ttl=64 time=0.801 ms
64 bytes from 10.2.0.13: icmp_seq=135 ttl=64 time=0.818 ms
64 bytes from 10.2.0.13: icmp_seq=136 ttl=64 time=0.743 ms
64 bytes from 10.2.0.13: icmp_seq=137 ttl=64 time=0.761 ms
64 bytes from 10.2.0.13: icmp_seq=138 ttl=64 time=0.749 ms
64 bytes from 10.2.0.13: icmp_seq=139 ttl=64 time=0.801 ms
64 bytes from 10.2.0.13: icmp_seq=140 ttl=64 time=0.780 ms
64 bytes from 10.2.0.13: icmp_seq=141 ttl=64 time=0.740 ms
64 bytes from 10.2.0.13: icmp_seq=142 ttl=64 time=0.680 ms
64 bytes from 10.2.0.13: icmp_seq=143 ttl=64 time=0.771 ms
64 bytes from 10.2.0.13: icmp_seq=144 ttl=64 time=0.801 ms
64 bytes from 10.2.0.13: icmp_seq=145 ttl=64 time=0.736 ms
64 bytes from 10.2.0.13: icmp_seq=146 ttl=64 time=0.861 ms
64 bytes from 10.2.0.13: icmp_seq=147 ttl=64 time=0.769 ms
64 bytes from 10.2.0.13: icmp_seq=148 ttl=64 time=0.826 ms
64 bytes from 10.2.0.13: icmp_seq=149 ttl=64 time=0.806 ms
64 bytes from 10.2.0.13: icmp_seq=150 ttl=64 time=0.772 ms
64 bytes from 10.2.0.13: icmp_seq=151 ttl=64 time=0.850 ms
64 bytes from 10.2.0.13: icmp_seq=152 ttl=64 time=0.807 ms
64 bytes from 10.2.0.13: icmp_seq=153 ttl=64 time=0.812 ms
64 bytes from 10.2.0.13: icmp_seq=154 ttl=64 time=0.927 ms
64 bytes from 10.2.0.13: icmp_seq=155 ttl=64 time=0.635 ms
64 bytes from 10.2.0.13: icmp_seq=156 ttl=64 time=0.934 ms
64 bytes from 10.2.0.13: icmp_seq=157 ttl=64 time=0.677 ms
64 bytes from 10.2.0.13: icmp_seq=158 ttl=64 time=0.763 ms
64 bytes from 10.2.0.13: icmp_seq=159 ttl=64 time=0.824 ms
64 bytes from 10.2.0.13: icmp_seq=160 ttl=64 time=0.788 ms
64 bytes from 10.2.0.13: icmp_seq=161 ttl=64 time=0.794 ms
64 bytes from 10.2.0.13: icmp_seq=162 ttl=64 time=0.882 ms
64 bytes from 10.2.0.13: icmp_seq=163 ttl=64 time=0.830 ms
64 bytes from 10.2.0.13: icmp_seq=164 ttl=64 time=0.804 ms
64 bytes from 10.2.0.13: icmp_seq=165 ttl=64 time=0.852 ms
64 bytes from 10.2.0.13: icmp_seq=166 ttl=64 time=0.808 ms
64 bytes from 10.2.0.13: icmp_seq=167 ttl=64 time=0.848 ms
64 bytes from 10.2.0.13: icmp_seq=168 ttl=64 time=0.836 ms
64 bytes from 10.2.0.13: icmp_seq=169 ttl=64 time=0.820 ms
64 bytes from 10.2.0.13: icmp_seq=170 ttl=64 time=0.809 ms
64 bytes from 10.2.0.13: icmp_seq=171 ttl=64 time=0.852 ms
64 bytes from 10.2.0.13: icmp_seq=172 ttl=64 time=0.776 ms
64 bytes from 10.2.0.13: icmp_seq=173 ttl=64 time=0.882 ms
64 bytes from 10.2.0.13: icmp_seq=174 ttl=64 time=0.832 ms
64 bytes from 10.2.0.13: icmp_seq=175 ttl=64 time=0.781 ms
64 bytes from 10.2.0.13: icmp_seq=176 ttl=64 time=0.836 ms
64 bytes from 10.2.0.13: icmp_seq=177 ttl=64 time=0.793 ms
64 bytes from 10.2.0.13: icmp_seq=178 ttl=64 time=0.823 ms
64 bytes from 10.2.0.13: icmp_seq=179 ttl=64 time=0.781 ms
64 bytes from 10.2.0.13: icmp_seq=180 ttl=64 time=0.714 ms
64 bytes from 10.2.0.13: icmp_seq=181 ttl=64 time=0.897 ms
64 bytes from 10.2.0.13: icmp_seq=182 ttl=64 time=0.676 ms
64 bytes from 10.2.0.13: icmp_seq=183 ttl=64 time=0.829 ms
64 bytes from 10.2.0.13: icmp_seq=184 ttl=64 time=0.784 ms
64 bytes from 10.2.0.13: icmp_seq=185 ttl=64 time=0.748 ms
64 bytes from 10.2.0.13: icmp_seq=186 ttl=64 time=0.885 ms
64 bytes from 10.2.0.13: icmp_seq=187 ttl=64 time=0.903 ms
64 bytes from 10.2.0.13: icmp_seq=188 ttl=64 time=0.788 ms
64 bytes from 10.2.0.13: icmp_seq=189 ttl=64 time=0.658 ms
64 bytes from 10.2.0.13: icmp_seq=190 ttl=64 time=0.772 ms
64 bytes from 10.2.0.13: icmp_seq=191 ttl=64 time=0.737 ms
64 bytes from 10.2.0.13: icmp_seq=192 ttl=64 time=0.823 ms
64 bytes from 10.2.0.13: icmp_seq=193 ttl=64 time=0.804 ms
