uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
01E04E90-A2E1-47FF-B41D-53ED729413D0,1,6723.06,0.00,240.0001,0.00,0.00,0.54,0.01,228471.24
01E04E90-A2E1-47FF-B41D-53ED729413D0,4,22650.77,0.00,240.0001,0.00,0.01,0.63,0.01,873796.31
01E04E90-A2E1-47FF-B41D-53ED729413D0,8,35160.90,0.00,240.0002,0.00,0.01,0.68,0.01,1597410.91
01E04E90-A2E1-47FF-B41D-53ED729413D0,16,34546.02,0.00,240.0002,0.00,0.01,10.28,0.02,2676978.42
01E04E90-A2E1-47FF-B41D-53ED729413D0,32,34072.47,0.00,240.0004,0.00,0.02,27.60,0.07,4644726.29
01E04E90-A2E1-47FF-B41D-53ED729413D0,64,33964.55,0.00,240.0006,0.00,0.03,31.26,0.19,8647963.74
