uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
8DE80747-C73A-47A4-B630-ED82632044F5,1,0.00,55.10,240.0005,0.10,0.57,55.39,0.99,239406.89
8DE80747-C73A-47A4-B630-ED82632044F5,4,0.00,218.61,240.0004,0.09,0.57,116.33,0.89,957717.31
8DE80747-C73A-47A4-B630-ED82632044F5,8,0.00,232.56,240.0156,0.09,1.07,69.71,1.06,1916850.99
8DE80747-C73A-47A4-B630-ED82632044F5,16,0.00,242.55,240.0366,0.10,2.06,53.36,1.70,3835394.81
8DE80747-C73A-47A4-B630-ED82632044F5,32,0.00,248.69,240.0357,0.09,4.02,62.64,40.37,7675916.00
8DE80747-C73A-47A4-B630-ED82632044F5,64,0.00,250.93,240.0324,0.10,7.97,94.96,43.39,15355795.00
