uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
75336946-D741-4AF7-BBC6-A55B27922DDD,1,0.00,111.14,240.0003,0.07,0.28,87.51,0.50,239694.69
75336946-D741-4AF7-BBC6-A55B27922DDD,4,0.00,226.47,240.0001,0.07,0.55,32.84,0.42,959091.78
75336946-D741-4AF7-BBC6-A55B27922DDD,8,0.00,238.70,240.0255,0.07,1.05,78.00,0.48,1918877.71
75336946-D741-4AF7-BBC6-A55B27922DDD,16,0.00,246.33,240.0003,0.07,2.03,48.84,0.78,3837768.95
75336946-D741-4AF7-BBC6-A55B27922DDD,32,0.00,249.96,240.0361,0.08,4.00,49.57,44.17,7678537.35
75336946-D741-4AF7-BBC6-A55B27922DDD,64,0.00,251.80,240.0413,0.08,7.94,54.06,45.79,15359133.59
