uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
7E9C54BF-B189-46F4-8C90-640A07C21A2F,1,5438.38,0.00,60.0002,0.00,0.01,0.40,0.01,56869.05
7E9C54BF-B189-46F4-8C90-640A07C21A2F,4,13121.16,0.00,60.0001,0.00,0.01,28.05,0.01,224059.69
7E9C54BF-B189-46F4-8C90-640A07C21A2F,8,13351.67,0.00,60.0003,0.00,0.02,32.51,0.01,419163.77
7E9C54BF-B189-46F4-8C90-640A07C21A2F,16,13274.68,0.00,60.0004,0.00,0.03,48.05,0.01,828435.18
7E9C54BF-B189-46F4-8C90-640A07C21A2F,32,13327.58,0.00,60.0007,0.00,0.07,88.03,0.01,1704699.89
7E9C54BF-B189-46F4-8C90-640A07C21A2F,64,13319.82,0.00,60.0014,0.00,0.13,228.05,0.01,3391902.97
