uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
7E9C54BF-B189-46F4-8C90-640A07C21A2F,1,0.00,18.76,60.0003,0.57,1.66,146.65,1.79,59941.76
7E9C54BF-B189-46F4-8C90-640A07C21A2F,4,0.00,34.75,60.0058,0.61,3.60,41.12,6.21,239897.87
7E9C54BF-B189-46F4-8C90-640A07C21A2F,8,0.00,25.29,60.0089,0.65,9.88,59.85,12.08,479957.79
7E9C54BF-B189-46F4-8C90-640A07C21A2F,16,0.00,26.49,60.0143,0.62,18.87,31.47,22.28,959971.53
7E9C54BF-B189-46F4-8C90-640A07C21A2F,32,0.00,27.13,60.0032,0.90,36.85,203.56,43.39,1919849.22
7E9C54BF-B189-46F4-8C90-640A07C21A2F,64,0.00,27.28,60.0747,1.67,73.31,161.69,101.13,3843899.02
