uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
59305390-4B5D-4A41-9F62-A1D48AACEEBC,1,0.00,263.51,240.0001,0.05,0.12,3.16,0.15,239366.16
59305390-4B5D-4A41-9F62-A1D48AACEEBC,4,0.00,445.33,240.0004,0.05,0.28,2.86,0.57,958369.63
59305390-4B5D-4A41-9F62-A1D48AACEEBC,8,0.00,455.30,240.0006,0.05,0.55,5.31,1.08,1917526.25
59305390-4B5D-4A41-9F62-A1D48AACEEBC,16,0.00,467.51,240.0010,0.05,1.07,7.19,2.03,3836514.39
59305390-4B5D-4A41-9F62-A1D48AACEEBC,32,0.00,479.48,240.0009,0.05,2.08,12.94,3.75,7674751.24
59305390-4B5D-4A41-9F62-A1D48AACEEBC,64,0.00,488.82,240.0018,0.05,4.09,22.63,7.04,15349327.92
