uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,1,0.00,240.63,240.0424,0.08,2.08,50.86,1.12,3838573.27
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,32,0.00,14.87,240.0143,0.08,2.10,50.31,1.06,239934.42
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,4,0.00,235.70,240.0416,0.08,4.24,94.99,44.17,7678805.87
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,64,0.00,28.14,240.0435,0.07,4.44,94.66,44.98,959988.90
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,8,0.00,233.07,240.0404,0.08,8.58,95.28,45.79,15359156.62
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,16,0.00,244.01,240.0337,0.07,2.05,50.11,0.92,3837935.86
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,32,0.00,248.31,240.0406,0.08,4.03,54.30,43.39,7678497.67
39BE06FA-3EB1-4B45-B856-A7E04C042AAC,64,0.00,250.31,240.0344,0.09,7.99,95.47,44.17,15357417.04
