uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,1,0.00,48.12,240.0003,0.10,0.65,116.82,1.18,239535.30
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,4,0.00,217.20,240.0008,0.09,0.57,189.02,0.90,957960.41
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,8,0.00,232.48,240.0005,0.09,1.07,175.57,1.10,1916597.42
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,16,0.00,242.48,240.0184,0.09,2.06,164.03,1.67,3835091.32
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,32,0.00,248.97,240.0369,0.10,4.01,50.91,40.37,7675973.43
150B2D59-9D69-4BCF-9C7C-DB3094A08B42,64,0.00,251.02,240.0338,0.10,7.96,91.41,43.39,15356181.74
