uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
C3210989-9D3D-4ADC-84DC-71C2541D5B43,1,6505.63,0.00,240.0001,0.00,0.00,0.04,0.01,227829.60
C3210989-9D3D-4ADC-84DC-71C2541D5B43,4,21893.77,0.00,240.0000,0.00,0.01,0.08,0.01,870060.33
C3210989-9D3D-4ADC-84DC-71C2541D5B43,8,33764.66,0.00,240.0001,0.00,0.01,7.18,0.01,1595160.94
C3210989-9D3D-4ADC-84DC-71C2541D5B43,16,33213.46,0.00,240.0001,0.00,0.01,9.00,0.02,2683425.47
C3210989-9D3D-4ADC-84DC-71C2541D5B43,32,33691.82,0.00,240.0001,0.00,0.02,9.25,0.07,4657613.04
C3210989-9D3D-4ADC-84DC-71C2541D5B43,64,33571.77,0.00,240.0002,0.00,0.03,43.83,0.20,8674791.82
