uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
A1CB60D3-03CD-4C0A-BE63-4762A98204F1,1,5320.09,0.00,240.0001,0.00,0.01,1.09,0.01,228113.18
A1CB60D3-03CD-4C0A-BE63-4762A98204F1,4,18843.76,0.00,240.0001,0.00,0.01,27.06,0.01,880661.54
A1CB60D3-03CD-4C0A-BE63-4762A98204F1,8,30964.34,0.00,240.0002,0.00,0.01,0.98,0.01,1637558.99
A1CB60D3-03CD-4C0A-BE63-4762A98204F1,16,32003.81,0.00,240.0002,0.00,0.01,24.67,0.02,2809982.34
A1CB60D3-03CD-4C0A-BE63-4762A98204F1,32,32516.23,0.00,240.0004,0.00,0.02,23.88,0.07,4796764.35
A1CB60D3-03CD-4C0A-BE63-4762A98204F1,64,32396.74,0.00,240.0007,0.00,0.04,29.94,0.20,8866955.73
