uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Max,Latency 95th Percentile,Latency Sum
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,1,0.00,17.53,240.0016,0.54,1.78,334.00,2.86,239830.89
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,4,0.00,21.39,240.0022,0.57,5.84,269.88,6.79,959726.11
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,8,0.00,22.81,240.0024,0.59,10.96,106.38,11.87,1919784.95
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,16,0.00,23.69,240.0107,0.59,21.10,380.29,22.69,3839940.01
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,32,0.00,24.18,240.0364,0.56,41.35,128.40,47.47,7680604.61
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,64,0.00,24.34,240.0447,1.01,82.17,207.39,104.84,15362048.30
