uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Max,Latency 95th Percentile,Latency Sum
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,1,5007.62,0.00,240.0001,0.00,0.01,0.58,0.01,229245.12
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,4,11733.18,0.00,240.0001,0.00,0.01,17.99,0.02,904474.84
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,8,11856.33,0.00,240.0002,0.00,0.02,44.06,0.02,1660748.43
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,16,11787.18,0.00,240.0004,0.00,0.04,60.06,0.02,3231638.58
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,32,11876.92,0.00,240.0006,0.00,0.08,136.51,0.02,6865938.56
2FFC33F6-A0C6-4AB5-84BA-D9A48DA96ACB,64,11836.21,0.00,240.0013,0.00,0.15,180.05,0.02,13591767.51
