PING 10.2.0.9 (10.2.0.9) 56(84) bytes of data.
64 bytes from 10.2.0.9: icmp_seq=82 ttl=64 time=0.603 ms
64 bytes from 10.2.0.9: icmp_seq=83 ttl=64 time=0.632 ms
64 bytes from 10.2.0.9: icmp_seq=84 ttl=64 time=0.471 ms
64 bytes from 10.2.0.9: icmp_seq=85 ttl=64 time=0.644 ms
64 bytes from 10.2.0.9: icmp_seq=86 ttl=64 time=0.494 ms
64 bytes from 10.2.0.9: icmp_seq=87 ttl=64 time=0.609 ms
64 bytes from 10.2.0.9: icmp_seq=88 ttl=64 time=0.704 ms
64 bytes from 10.2.0.9: icmp_seq=89 ttl=64 time=0.658 ms
64 bytes from 10.2.0.9: icmp_seq=90 ttl=64 time=0.548 ms
64 bytes from 10.2.0.9: icmp_seq=91 ttl=64 time=0.560 ms
64 bytes from 10.2.0.9: icmp_seq=92 ttl=64 time=0.824 ms
64 bytes from 10.2.0.9: icmp_seq=93 ttl=64 time=0.453 ms
64 bytes from 10.2.0.9: icmp_seq=94 ttl=64 time=0.746 ms
64 bytes from 10.2.0.9: icmp_seq=95 ttl=64 time=0.566 ms
64 bytes from 10.2.0.9: icmp_seq=96 ttl=64 time=0.720 ms
64 bytes from 10.2.0.9: icmp_seq=97 ttl=64 time=0.861 ms
64 bytes from 10.2.0.9: icmp_seq=98 ttl=64 time=0.662 ms
64 bytes from 10.2.0.9: icmp_seq=99 ttl=64 time=0.851 ms
64 bytes from 10.2.0.9: icmp_seq=100 ttl=64 time=0.774 ms
64 bytes from 10.2.0.9: icmp_seq=101 ttl=64 time=0.812 ms
64 bytes from 10.2.0.9: icmp_seq=102 ttl=64 time=1.01 ms
64 bytes from 10.2.0.9: icmp_seq=103 ttl=64 time=0.656 ms
64 bytes from 10.2.0.9: icmp_seq=104 ttl=64 time=0.702 ms
64 bytes from 10.2.0.9: icmp_seq=105 ttl=64 time=0.622 ms
64 bytes from 10.2.0.9: icmp_seq=106 ttl=64 time=0.693 ms
64 bytes from 10.2.0.9: icmp_seq=107 ttl=64 time=0.775 ms
64 bytes from 10.2.0.9: icmp_seq=108 ttl=64 time=0.668 ms
64 bytes from 10.2.0.9: icmp_seq=109 ttl=64 time=0.721 ms
64 bytes from 10.2.0.9: icmp_seq=110 ttl=64 time=0.712 ms
64 bytes from 10.2.0.9: icmp_seq=111 ttl=64 time=0.729 ms
64 bytes from 10.2.0.9: icmp_seq=112 ttl=64 time=0.624 ms
64 bytes from 10.2.0.9: icmp_seq=113 ttl=64 time=0.808 ms
64 bytes from 10.2.0.9: icmp_seq=114 ttl=64 time=0.626 ms
64 bytes from 10.2.0.9: icmp_seq=115 ttl=64 time=0.741 ms
64 bytes from 10.2.0.9: icmp_seq=116 ttl=64 time=0.727 ms
