uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
43648F14-14B9-4885-9A6A-18CC7D7B92A8,1,4937.81,0.00,240.0001,0.00,0.01,8.27,0.01,229535.79
43648F14-14B9-4885-9A6A-18CC7D7B92A8,4,17089.63,0.00,240.0001,0.00,0.01,10.85,0.01,899316.97
43648F14-14B9-4885-9A6A-18CC7D7B92A8,8,28773.08,0.00,240.0001,0.00,0.01,13.19,0.01,1716247.74
43648F14-14B9-4885-9A6A-18CC7D7B92A8,16,28050.26,0.00,240.0002,0.00,0.01,10.79,0.03,3041044.57
43648F14-14B9-4885-9A6A-18CC7D7B92A8,32,29099.32,0.00,240.0003,0.00,0.02,26.49,0.05,5116245.76
43648F14-14B9-4885-9A6A-18CC7D7B92A8,64,29455.07,0.00,240.0006,0.00,0.04,159.26,0.08,9020586.48
