uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
39400A59-0E96-429F-AD49-D01F5F93C809,1,0.00,81.00,240.0004,0.10,0.38,25.92,0.59,239506.97
39400A59-0E96-429F-AD49-D01F5F93C809,4,0.00,302.48,240.0004,0.11,0.41,181.30,0.68,958072.96
39400A59-0E96-429F-AD49-D01F5F93C809,8,0.00,352.25,240.0003,0.10,0.71,498.13,1.16,1917228.52
39400A59-0E96-429F-AD49-D01F5F93C809,16,0.00,363.06,240.0007,0.11,1.38,77.84,3.75,3835326.75
39400A59-0E96-429F-AD49-D01F5F93C809,32,0.00,375.54,240.0071,0.11,2.66,54.68,7.98,7672198.77
39400A59-0E96-429F-AD49-D01F5F93C809,64,0.00,381.59,240.0086,0.10,5.24,83.43,13.95,15351165.78
