uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
4E366A0F-C900-45CB-A017-8839C86ADBBF,1,0.00,18.41,240.0003,0.52,1.70,138.02,1.93,239899.08
4E366A0F-C900-45CB-A017-8839C86ADBBF,4,0.00,68.69,240.0012,0.54,1.82,202.75,2.26,959528.69
4E366A0F-C900-45CB-A017-8839C86ADBBF,8,0.00,130.56,240.0007,0.52,1.91,136.17,2.61,1918588.32
4E366A0F-C900-45CB-A017-8839C86ADBBF,16,0.00,230.04,240.0010,0.52,2.17,147.76,3.02,3835455.65
4E366A0F-C900-45CB-A017-8839C86ADBBF,32,0.00,245.44,240.0028,0.56,4.07,130.76,5.00,7672557.47
4E366A0F-C900-45CB-A017-8839C86ADBBF,64,0.00,248.10,240.0055,0.58,8.06,155.93,9.73,15352097.79
