uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
583E6952-9FA5-4284-BD0A-FF91875B553F,1,6066.64,0.00,240.0001,0.00,0.00,0.06,0.01,227036.08
583E6952-9FA5-4284-BD0A-FF91875B553F,4,21728.03,0.00,240.0000,0.00,0.01,3.97,0.01,866739.94
583E6952-9FA5-4284-BD0A-FF91875B553F,8,33760.89,0.00,240.0001,0.00,0.01,0.44,0.01,1586245.36
583E6952-9FA5-4284-BD0A-FF91875B553F,16,32628.64,0.00,240.0001,0.00,0.01,10.72,0.02,2665209.08
583E6952-9FA5-4284-BD0A-FF91875B553F,32,32382.20,0.00,240.0001,0.00,0.02,1.31,0.07,4629451.22
583E6952-9FA5-4284-BD0A-FF91875B553F,64,33613.46,0.00,240.0002,0.00,0.03,41.88,0.19,8628463.97
