uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,1,22436.58,0.00,240.0002,0.00,0.02,47.09,0.03,3240103.83
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,32,2778.21,0.00,240.0001,0.00,0.01,19.49,0.01,227221.83
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,4,28102.83,0.00,240.0037,0.00,0.02,28.81,0.04,5053192.35
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,64,5062.72,0.00,240.0014,0.00,0.02,57.86,0.01,904004.95
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,8,27911.35,0.00,240.0021,0.00,0.04,67.38,0.06,8985666.02
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,16,27958.11,0.00,240.0002,0.00,0.01,11.60,0.03,3076352.41
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,32,27958.36,0.00,240.0003,0.00,0.02,146.26,0.06,5280844.38
48A61A3F-238C-4D59-B1F7-A0ABC6B62CBA,64,28116.65,0.00,240.0008,0.00,0.04,188.94,0.15,9701161.71
