uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
838B25D3-B54B-4112-A64F-6ED184EE4D13,1,0.00,102.96,240.0001,0.10,0.30,9.86,0.42,239529.45
838B25D3-B54B-4112-A64F-6ED184EE4D13,4,0.00,328.09,240.0003,0.10,0.38,75.88,0.77,958136.90
838B25D3-B54B-4112-A64F-6ED184EE4D13,8,0.00,354.32,240.0018,0.10,0.70,25.31,1.14,1917731.70
838B25D3-B54B-4112-A64F-6ED184EE4D13,16,0.00,366.74,240.0028,0.10,1.36,15.77,3.75,3835864.31
838B25D3-B54B-4112-A64F-6ED184EE4D13,32,0.00,375.62,240.0061,0.10,2.66,21.46,7.30,7673470.84
838B25D3-B54B-4112-A64F-6ED184EE4D13,64,0.00,374.43,240.0032,0.10,5.34,185.91,13.46,15351415.43
