uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
72B24A17-7766-44D6-93DE-777D6054D76B,1,0.00,51.80,240.0002,0.10,0.60,58.05,0.90,239400.25
72B24A17-7766-44D6-93DE-777D6054D76B,4,0.00,216.79,240.0002,0.09,0.58,27.97,0.87,957608.60
72B24A17-7766-44D6-93DE-777D6054D76B,8,0.00,233.16,240.0003,0.09,1.07,44.89,1.03,1916722.89
72B24A17-7766-44D6-93DE-777D6054D76B,16,0.00,243.00,240.0024,0.10,2.05,46.07,2.30,3835218.61
72B24A17-7766-44D6-93DE-777D6054D76B,32,0.00,248.32,240.0008,0.09,4.02,72.50,40.37,7674616.24
72B24A17-7766-44D6-93DE-777D6054D76B,64,0.00,250.99,240.0028,0.10,7.96,54.82,43.39,15353644.44
