PING 192.168.1.13 (192.168.1.13) 56(84) bytes of data.
64 bytes from 192.168.1.13: icmp_seq=131 ttl=64 time=0.853 ms
64 bytes from 192.168.1.13: icmp_seq=132 ttl=64 time=0.781 ms
64 bytes from 192.168.1.13: icmp_seq=133 ttl=64 time=0.832 ms
64 bytes from 192.168.1.13: icmp_seq=134 ttl=64 time=0.825 ms
64 bytes from 192.168.1.13: icmp_seq=135 ttl=64 time=0.871 ms
64 bytes from 192.168.1.13: icmp_seq=136 ttl=64 time=1.64 ms
64 bytes from 192.168.1.13: icmp_seq=137 ttl=64 time=0.953 ms
64 bytes from 192.168.1.13: icmp_seq=138 ttl=64 time=0.782 ms
64 bytes from 192.168.1.13: icmp_seq=139 ttl=64 time=0.964 ms
64 bytes from 192.168.1.13: icmp_seq=140 ttl=64 time=0.880 ms
64 bytes from 192.168.1.13: icmp_seq=141 ttl=64 time=1.03 ms
64 bytes from 192.168.1.13: icmp_seq=142 ttl=64 time=0.889 ms
64 bytes from 192.168.1.13: icmp_seq=143 ttl=64 time=0.935 ms
64 bytes from 192.168.1.13: icmp_seq=144 ttl=64 time=0.998 ms
64 bytes from 192.168.1.13: icmp_seq=145 ttl=64 time=0.923 ms
64 bytes from 192.168.1.13: icmp_seq=146 ttl=64 time=1.18 ms
64 bytes from 192.168.1.13: icmp_seq=147 ttl=64 time=1.52 ms
64 bytes from 192.168.1.13: icmp_seq=148 ttl=64 time=0.750 ms
64 bytes from 192.168.1.13: icmp_seq=149 ttl=64 time=0.992 ms
64 bytes from 192.168.1.13: icmp_seq=150 ttl=64 time=0.982 ms
64 bytes from 192.168.1.13: icmp_seq=151 ttl=64 time=1.14 ms
64 bytes from 192.168.1.13: icmp_seq=152 ttl=64 time=0.882 ms
64 bytes from 192.168.1.13: icmp_seq=153 ttl=64 time=0.771 ms
64 bytes from 192.168.1.13: icmp_seq=154 ttl=64 time=1.05 ms
64 bytes from 192.168.1.13: icmp_seq=155 ttl=64 time=0.886 ms
64 bytes from 192.168.1.13: icmp_seq=156 ttl=64 time=1.21 ms
64 bytes from 192.168.1.13: icmp_seq=157 ttl=64 time=0.954 ms
64 bytes from 192.168.1.13: icmp_seq=158 ttl=64 time=0.884 ms
64 bytes from 192.168.1.13: icmp_seq=159 ttl=64 time=0.948 ms
64 bytes from 192.168.1.13: icmp_seq=160 ttl=64 time=1.00 ms
64 bytes from 192.168.1.13: icmp_seq=161 ttl=64 time=0.959 ms
64 bytes from 192.168.1.13: icmp_seq=162 ttl=64 time=0.885 ms
64 bytes from 192.168.1.13: icmp_seq=163 ttl=64 time=0.984 ms
64 bytes from 192.168.1.13: icmp_seq=164 ttl=64 time=1.49 ms
64 bytes from 192.168.1.13: icmp_seq=165 ttl=64 time=0.890 ms
64 bytes from 192.168.1.13: icmp_seq=166 ttl=64 time=0.913 ms
64 bytes from 192.168.1.13: icmp_seq=167 ttl=64 time=0.823 ms
64 bytes from 192.168.1.13: icmp_seq=168 ttl=64 time=0.892 ms
64 bytes from 192.168.1.13: icmp_seq=169 ttl=64 time=0.856 ms
64 bytes from 192.168.1.13: icmp_seq=170 ttl=64 time=0.765 ms
64 bytes from 192.168.1.13: icmp_seq=171 ttl=64 time=1.04 ms
64 bytes from 192.168.1.13: icmp_seq=172 ttl=64 time=0.895 ms
64 bytes from 192.168.1.13: icmp_seq=173 ttl=64 time=1.03 ms
64 bytes from 192.168.1.13: icmp_seq=174 ttl=64 time=1.06 ms
64 bytes from 192.168.1.13: icmp_seq=175 ttl=64 time=0.927 ms
64 bytes from 192.168.1.13: icmp_seq=176 ttl=64 time=1.05 ms
64 bytes from 192.168.1.13: icmp_seq=177 ttl=64 time=0.903 ms
64 bytes from 192.168.1.13: icmp_seq=178 ttl=64 time=0.825 ms
64 bytes from 192.168.1.13: icmp_seq=179 ttl=64 time=1.00 ms
64 bytes from 192.168.1.13: icmp_seq=180 ttl=64 time=0.801 ms
64 bytes from 192.168.1.13: icmp_seq=181 ttl=64 time=0.894 ms
64 bytes from 192.168.1.13: icmp_seq=182 ttl=64 time=0.900 ms
64 bytes from 192.168.1.13: icmp_seq=183 ttl=64 time=0.886 ms
64 bytes from 192.168.1.13: icmp_seq=184 ttl=64 time=0.812 ms
64 bytes from 192.168.1.13: icmp_seq=185 ttl=64 time=0.951 ms
64 bytes from 192.168.1.13: icmp_seq=186 ttl=64 time=0.989 ms
64 bytes from 192.168.1.13: icmp_seq=187 ttl=64 time=0.929 ms
64 bytes from 192.168.1.13: icmp_seq=188 ttl=64 time=1.26 ms
64 bytes from 192.168.1.13: icmp_seq=189 ttl=64 time=1.07 ms
64 bytes from 192.168.1.13: icmp_seq=190 ttl=64 time=0.929 ms
64 bytes from 192.168.1.13: icmp_seq=191 ttl=64 time=1.05 ms
64 bytes from 192.168.1.13: icmp_seq=192 ttl=64 time=0.851 ms
64 bytes from 192.168.1.13: icmp_seq=193 ttl=64 time=1.25 ms
64 bytes from 192.168.1.13: icmp_seq=194 ttl=64 time=1.04 ms
64 bytes from 192.168.1.13: icmp_seq=195 ttl=64 time=1.04 ms
64 bytes from 192.168.1.13: icmp_seq=196 ttl=64 time=1.19 ms
64 bytes from 192.168.1.13: icmp_seq=197 ttl=64 time=0.966 ms
64 bytes from 192.168.1.13: icmp_seq=198 ttl=64 time=0.883 ms
64 bytes from 192.168.1.13: icmp_seq=199 ttl=64 time=1.00 ms
64 bytes from 192.168.1.13: icmp_seq=200 ttl=64 time=0.853 ms
64 bytes from 192.168.1.13: icmp_seq=201 ttl=64 time=0.973 ms
64 bytes from 192.168.1.13: icmp_seq=202 ttl=64 time=0.944 ms
64 bytes from 192.168.1.13: icmp_seq=203 ttl=64 time=0.914 ms
64 bytes from 192.168.1.13: icmp_seq=204 ttl=64 time=1.02 ms
64 bytes from 192.168.1.13: icmp_seq=205 ttl=64 time=0.953 ms
64 bytes from 192.168.1.13: icmp_seq=206 ttl=64 time=0.866 ms
64 bytes from 192.168.1.13: icmp_seq=207 ttl=64 time=0.877 ms
64 bytes from 192.168.1.13: icmp_seq=208 ttl=64 time=0.799 ms
64 bytes from 192.168.1.13: icmp_seq=209 ttl=64 time=0.974 ms
64 bytes from 192.168.1.13: icmp_seq=210 ttl=64 time=0.971 ms
64 bytes from 192.168.1.13: icmp_seq=211 ttl=64 time=1.03 ms
64 bytes from 192.168.1.13: icmp_seq=212 ttl=64 time=0.937 ms
64 bytes from 192.168.1.13: icmp_seq=213 ttl=64 time=0.911 ms
64 bytes from 192.168.1.13: icmp_seq=214 ttl=64 time=1.32 ms
64 bytes from 192.168.1.13: icmp_seq=215 ttl=64 time=0.975 ms
64 bytes from 192.168.1.13: icmp_seq=216 ttl=64 time=1.07 ms
64 bytes from 192.168.1.13: icmp_seq=217 ttl=64 time=0.962 ms
64 bytes from 192.168.1.13: icmp_seq=218 ttl=64 time=0.731 ms
64 bytes from 192.168.1.13: icmp_seq=219 ttl=64 time=0.917 ms
64 bytes from 192.168.1.13: icmp_seq=220 ttl=64 time=0.836 ms
64 bytes from 192.168.1.13: icmp_seq=221 ttl=64 time=1.29 ms
64 bytes from 192.168.1.13: icmp_seq=222 ttl=64 time=0.949 ms
