uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
61F943EA-7A61-4A26-A31C-1DD0290D28E2,1,6350.41,0.00,240.0001,0.00,0.00,0.18,0.01,228513.15
61F943EA-7A61-4A26-A31C-1DD0290D28E2,4,21125.69,0.00,240.0000,0.00,0.01,0.20,0.01,865271.96
61F943EA-7A61-4A26-A31C-1DD0290D28E2,8,32215.69,0.00,240.0000,0.00,0.01,0.31,0.01,1582140.93
61F943EA-7A61-4A26-A31C-1DD0290D28E2,16,29396.15,0.00,240.0001,0.00,0.01,3.93,0.03,2599514.29
61F943EA-7A61-4A26-A31C-1DD0290D28E2,32,30724.13,0.00,240.0001,0.00,0.02,4.35,0.08,4610895.34
61F943EA-7A61-4A26-A31C-1DD0290D28E2,64,30528.12,0.00,240.0002,0.00,0.04,43.88,0.21,8653919.59
