uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
3ECD5F42-B5E9-45C2-B571-667C262F7CEE,1,0.00,18.57,240.0012,0.52,1.68,142.62,1.89,239894.20
3ECD5F42-B5E9-45C2-B571-667C262F7CEE,4,0.00,70.45,240.0017,0.53,1.77,121.54,2.18,959558.12
3ECD5F42-B5E9-45C2-B571-667C262F7CEE,8,0.00,129.51,240.0016,0.54,1.93,66.42,2.61,1918529.74
3ECD5F42-B5E9-45C2-B571-667C262F7CEE,16,0.00,230.59,240.0014,0.53,2.17,140.01,3.02,3835303.90
3ECD5F42-B5E9-45C2-B571-667C262F7CEE,32,0.00,245.47,240.0016,0.56,4.07,147.81,5.00,7671949.60
3ECD5F42-B5E9-45C2-B571-667C262F7CEE,64,0.00,248.07,240.0031,0.56,8.06,157.88,9.73,15351682.98
