uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
EC89342B-65E0-4DFF-BADE-1C9CE4FF14D4,1,5947.16,0.00,240.0001,0.00,0.01,0.20,0.01,229288.25
EC89342B-65E0-4DFF-BADE-1C9CE4FF14D4,4,20639.81,0.00,240.0000,0.00,0.01,0.21,0.01,869935.02
EC89342B-65E0-4DFF-BADE-1C9CE4FF14D4,8,32196.52,0.00,240.0001,0.00,0.01,0.43,0.01,1607998.26
EC89342B-65E0-4DFF-BADE-1C9CE4FF14D4,16,28676.38,0.00,240.0000,0.00,0.01,7.26,0.03,2599980.24
EC89342B-65E0-4DFF-BADE-1C9CE4FF14D4,32,29935.99,0.00,240.0001,0.00,0.02,10.99,0.08,4624084.41
EC89342B-65E0-4DFF-BADE-1C9CE4FF14D4,64,30505.98,0.00,240.0002,0.00,0.04,39.85,0.21,8626026.42
