uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
00454095-84A2-45B9-A736-93050D10B4DC,1,5655.58,0.00,240.0001,0.00,0.01,0.58,0.01,228805.90
00454095-84A2-45B9-A736-93050D10B4DC,4,18846.40,0.00,240.0002,0.00,0.01,0.59,0.01,882149.71
00454095-84A2-45B9-A736-93050D10B4DC,8,31352.49,0.00,240.0001,0.00,0.01,0.99,0.01,1640607.95
00454095-84A2-45B9-A736-93050D10B4DC,16,32517.88,0.00,240.0002,0.00,0.01,19.71,0.02,2810026.43
00454095-84A2-45B9-A736-93050D10B4DC,32,32077.05,0.00,240.0003,0.00,0.02,24.98,0.08,4793212.00
00454095-84A2-45B9-A736-93050D10B4DC,64,31839.10,0.00,240.0006,0.00,0.04,28.46,0.21,8877278.29
