uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
7ECDFB57-D9BF-445B-8D5A-7D178B23F4F0,1,0.00,125.46,240.0001,0.05,0.25,17.40,0.29,239124.24
7ECDFB57-D9BF-445B-8D5A-7D178B23F4F0,4,0.00,484.68,240.0004,0.04,0.26,23.91,0.39,957469.71
7ECDFB57-D9BF-445B-8D5A-7D178B23F4F0,8,0.00,963.14,240.0003,0.04,0.26,22.26,0.50,1912633.80
7ECDFB57-D9BF-445B-8D5A-7D178B23F4F0,16,0.00,1694.46,240.0004,0.04,0.29,56.04,0.70,3822785.43
7ECDFB57-D9BF-445B-8D5A-7D178B23F4F0,32,0.00,2335.31,240.0007,0.04,0.43,22.25,1.01,7647937.96
7ECDFB57-D9BF-445B-8D5A-7D178B23F4F0,64,0.00,3243.90,240.0006,0.04,0.61,80.75,1.42,15311896.30
