uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
861F16DA-EEE0-4F3E-96FB-70831AA5D3EB,1,0.00,171.49,240.0002,0.07,0.18,0.80,0.22,239381.39
861F16DA-EEE0-4F3E-96FB-70831AA5D3EB,4,0.00,448.56,240.0003,0.07,0.28,1.27,0.54,957673.79
861F16DA-EEE0-4F3E-96FB-70831AA5D3EB,8,0.00,458.33,240.0004,0.08,0.54,2.49,1.04,1917081.53
861F16DA-EEE0-4F3E-96FB-70831AA5D3EB,16,0.00,469.14,240.0003,0.08,1.06,6.23,2.03,3835919.82
861F16DA-EEE0-4F3E-96FB-70831AA5D3EB,32,0.00,480.51,240.0031,0.08,2.08,12.65,3.82,7671955.06
861F16DA-EEE0-4F3E-96FB-70831AA5D3EB,64,0.00,488.72,240.0020,0.08,4.09,23.83,7.17,15344772.20
