uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
DA002CF4-767E-4B4B-8A99-1E0FB336A92F,1,0.00,102.33,240.0004,0.10,0.30,16.29,0.42,239465.82
DA002CF4-767E-4B4B-8A99-1E0FB336A92F,4,0.00,340.60,240.0009,0.10,0.37,239.09,0.70,958147.08
DA002CF4-767E-4B4B-8A99-1E0FB336A92F,8,0.00,354.09,240.0006,0.10,0.71,274.55,1.12,1917687.74
DA002CF4-767E-4B4B-8A99-1E0FB336A92F,16,0.00,360.43,240.0019,0.10,1.39,647.05,3.49,3835784.14
DA002CF4-767E-4B4B-8A99-1E0FB336A92F,32,0.00,375.35,240.0048,0.11,2.66,91.15,7.30,7673639.36
DA002CF4-767E-4B4B-8A99-1E0FB336A92F,64,0.00,379.04,240.0127,0.11,5.27,657.26,13.22,15350770.47
