uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
813BE43E-EEF8-4288-8C1B-B584C2C74E29,1,0.00,19.55,240.0014,0.52,1.60,186.70,1.79,239952.98
813BE43E-EEF8-4288-8C1B-B584C2C74E29,4,0.00,74.75,240.0011,0.51,1.67,139.92,2.07,959660.80
813BE43E-EEF8-4288-8C1B-B584C2C74E29,8,0.00,144.96,240.0013,0.50,1.72,143.91,2.35,1918488.07
813BE43E-EEF8-4288-8C1B-B584C2C74E29,16,0.00,264.50,240.0013,0.49,1.89,85.17,2.71,3836487.92
813BE43E-EEF8-4288-8C1B-B584C2C74E29,32,0.00,403.66,240.0015,0.51,2.48,150.53,3.49,7673806.89
813BE43E-EEF8-4288-8C1B-B584C2C74E29,64,0.00,409.86,240.0028,0.54,4.88,153.57,6.21,15350909.45
