uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,1,5170.23,0.00,240.0001,0.00,0.01,0.60,0.01,228728.72
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,4,18150.57,0.00,240.0002,0.00,0.01,0.64,0.01,880484.54
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,8,30829.29,0.00,240.0002,0.00,0.01,3.03,0.01,1644324.69
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,16,32703.51,0.00,240.0002,0.00,0.01,24.30,0.02,2843410.10
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,32,32487.63,0.00,240.0004,0.00,0.02,23.58,0.07,4846676.91
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,64,31911.59,0.00,240.0007,0.00,0.04,26.23,0.21,8931578.77
