uuid,Threads,Read Throughput,Write Througput,Total Time,Latency Min,Latency Avg,Latency Max,Latency 95th Percentile,Latency Sum
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,1,0.00,102.33,240.0003,0.10,0.30,16.13,0.44,239570.26
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,4,0.00,337.84,240.0007,0.10,0.37,23.65,0.74,958180.72
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,8,0.00,354.29,240.0003,0.10,0.70,16.75,1.16,1917813.54
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,16,0.00,366.75,240.0018,0.10,1.36,45.31,3.75,3836033.05
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,32,0.00,375.54,240.0033,0.10,2.66,23.15,7.30,7673628.86
2C3A3E00-D103-47DE-A62A-33A01E73A5FB,64,0.00,381.54,240.0041,0.10,5.24,39.50,13.22,15351358.67
